,Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Position,HoF,Years Played
0,1.0,Michael Jordan,1985.0,2003.0,1072.0,38.3,30.1,6.2,5.3,2.3,0.8,0.49700000000000005,0.327,0.835,214.0,0.25,SG,1,18.0
1,2.0,Wilt Chamberlain,1960.0,1973.0,1045.0,45.8,30.1,22.9,4.4,0.6,1.4,0.54,0.1175,0.511,247.3,0.248,C,1,13.0
2,3.0,Bill Russell,1957.0,1969.0,963.0,42.3,15.1,22.5,4.3,0.6,1.4,0.44,0.1175,0.561,163.5,0.193,C,1,12.0
3,4.0,Shaquille O'Neal,1993.0,2011.0,1207.0,34.7,23.7,10.9,2.5,0.6,2.3,0.5820000000000001,0.045,0.527,181.7,0.20800000000000002,C,1,18.0
4,5.0,Oscar Robertson,1961.0,1974.0,1040.0,42.2,25.7,7.5,9.5,1.1,0.1,0.485,0.325,0.838,189.2,0.207,PG,1,13.0
5,6.0,Magic Johnson,1980.0,1996.0,906.0,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225,PG,1,16.0
6,7.0,Kareem Abdul-Jabbar,1970.0,1989.0,1560.0,36.8,24.6,11.2,3.6,0.9,2.6,0.5589999999999999,0.055999999999999994,0.721,273.4,0.228,C,1,19.0
7,8.0,Tim Duncan,1998.0,2016.0,1392.0,34.0,19.0,10.8,3.0,0.7,2.2,0.506,0.179,0.696,206.4,0.209,C,0,18.0
8,9.0,Larry Bird,1980.0,1992.0,897.0,38.4,24.3,10.0,6.3,1.7,0.8,0.496,0.376,0.8859999999999999,145.8,0.203,PF,1,12.0
9,10.0,Kobe Bryant,1997.0,2016.0,1346.0,36.1,25.0,5.2,4.7,1.4,0.5,0.447,0.32899999999999996,0.8370000000000001,172.7,0.17,SG,0,19.0
10,11.0,Jerry West,1961.0,1974.0,932.0,39.2,27.0,5.8,6.7,2.6,0.7,0.474,0.325,0.8140000000000001,162.6,0.213,PG,1,13.0
11,12.0,Elgin Baylor,1959.0,1972.0,846.0,40.0,27.4,13.5,4.3,1.0,0.4,0.431,0.3305,0.78,104.2,0.14800000000000002,SF,1,13.0
12,13.0,Hakeem Olajuwon,1985.0,2002.0,1238.0,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.20199999999999999,0.7120000000000001,162.8,0.177,C,1,17.0
13,14.0,Bob Pettit,1955.0,1965.0,792.0,38.8,26.4,16.2,3.0,0.8,0.8,0.436,0.17600000000000002,0.7609999999999999,136.0,0.213,PF,1,10.0
14,15.0,Moses Malone,1977.0,1995.0,1329.0,33.9,20.6,12.2,1.4,0.8,1.3,0.491,0.1,0.769,167.1,0.17800000000000002,PF,1,18.0
15,16.0,Julius Erving,1977.0,1987.0,836.0,34.3,22.0,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.17800000000000002,SF,1,10.0
16,17.0,John Havlicek,1963.0,1978.0,1270.0,36.6,20.8,6.3,4.8,1.2,0.3,0.439,0.3305,0.815,131.7,0.136,SF,1,15.0
17,18.0,Karl Malone,1986.0,2004.0,1476.0,37.2,25.0,10.1,3.6,1.4,0.8,0.516,0.27399999999999997,0.742,234.6,0.205,PF,1,18.0
18,19.0,Isiah Thomas,1982.0,1994.0,979.0,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109,PG,1,12.0
19,20.0,Charles Barkley,1985.0,2000.0,1073.0,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.21600000000000003,PF,1,15.0
20,21.0,Rick Barry,1966.0,1980.0,794.0,36.3,23.2,6.5,5.1,2.0,0.5,0.449,0.33,0.9,93.4,0.156,SF,1,14.0
21,22.0,John Stockton,1985.0,2003.0,1504.0,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209,PG,1,18.0
22,23.0,Elvin Hayes,1969.0,1984.0,1303.0,38.4,21.0,12.5,1.8,1.0,2.0,0.452,0.147,0.67,120.8,0.11599999999999999,PF,0,15.0
23,24.0,Bob Cousy,1951.0,1970.0,924.0,35.3,18.4,5.2,7.5,1.3,0.1,0.375,0.325,0.8029999999999999,91.1,0.139,PG,1,19.0
24,25.0,David Robinson,1990.0,2003.0,987.0,34.7,21.1,10.6,2.5,1.4,3.0,0.518,0.25,0.736,178.7,0.25,C,1,13.0
25,26.0,Kevin McHale,1981.0,1993.0,971.0,31.0,17.9,7.3,1.7,0.4,1.7,0.5539999999999999,0.261,0.7979999999999999,113.0,0.18,PF,1,12.0
26,27.0,Scottie Pippen,1988.0,2004.0,1178.0,34.9,16.1,6.4,5.2,2.0,0.8,0.473,0.326,0.7040000000000001,125.1,0.146,SF,1,16.0
27,28.0,Jason Kidd,1995.0,2013.0,1391.0,36.0,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133,PG,1,18.0
28,29.0,George Mikan,1949.0,1956.0,439.0,34.4,23.1,13.4,2.8,0.6,1.4,0.40399999999999997,0.1175,0.782,108.7,0.249,C,1,7.0
29,30.0,Kevin Garnett,1996.0,2016.0,1462.0,34.5,17.8,10.0,3.7,1.3,1.4,0.49700000000000005,0.275,0.789,191.4,0.182,PF,0,20.0
30,31.0,LeBron James,2004.0,2019.0,1198.0,38.6,27.2,7.4,7.2,1.6,0.8,0.504,0.34299999999999997,0.736,226.6,0.235,SF,0,15.0
31,32.0,Willis Reed,1965.0,1974.0,650.0,35.5,18.7,12.9,1.8,0.6,1.1,0.47600000000000003,0.17600000000000002,0.747,74.9,0.156,PF,1,9.0
32,33.0,Wes Unseld,1969.0,1981.0,984.0,36.4,10.8,14.0,3.9,1.1,0.6,0.509,0.5,0.633,110.1,0.147,PF,1,12.0
33,34.0,Nate Thurmond,1964.0,1977.0,964.0,37.2,15.0,15.0,2.7,0.5,2.1,0.42100000000000004,0.17600000000000002,0.667,78.0,0.10400000000000001,PF,1,13.0
34,35.0,Dolph Schayes,1950.0,1964.0,996.0,34.4,18.5,12.1,3.1,0.8,0.8,0.38,0.17600000000000002,0.8490000000000001,142.4,0.192,PF,1,14.0
35,36.0,Walt Frazier,1968.0,1980.0,825.0,37.5,18.9,5.9,6.1,1.9,0.2,0.49,0.0,0.7859999999999999,113.5,0.17600000000000002,PG,1,12.0
36,37.0,Patrick Ewing,1986.0,2002.0,1183.0,34.3,21.0,9.8,1.9,1.0,2.4,0.504,0.152,0.74,126.4,0.15,C,1,16.0
37,38.0,Jerry Lucas,1964.0,1974.0,829.0,38.8,17.0,15.6,3.3,0.4,0.3,0.499,0.17600000000000002,0.7829999999999999,98.4,0.147,PF,1,10.0
38,39.0,Gary Payton,1991.0,2007.0,1335.0,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.7290000000000001,145.5,0.14800000000000002,PG,1,16.0
39,40.0,Allen Iverson,1997.0,2010.0,914.0,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99.0,0.126,PG,1,13.0
40,41.0,Billy Cunningham,1966.0,1976.0,654.0,34.3,20.8,10.1,4.0,1.2,0.5,0.446,0.3305,0.72,63.2,0.135,SF,1,10.0
41,42.0,Clyde Drexler,1984.0,1998.0,1086.0,34.6,20.4,6.1,5.6,2.0,0.7,0.47200000000000003,0.318,0.7879999999999999,135.6,0.17300000000000001,SF,1,14.0
42,43.0,Dominique Wilkins,1983.0,1999.0,1074.0,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.8109999999999999,117.5,0.14800000000000002,SF,1,16.0
43,44.0,Dave Cowens,1971.0,1983.0,766.0,38.6,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.7829999999999999,86.3,0.14,PF,1,12.0
44,45.0,George Gervin,1977.0,1986.0,791.0,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.297,0.8440000000000001,88.1,0.159,SG,1,9.0
45,46.0,Bob McAdoo,1973.0,1986.0,852.0,33.2,22.1,9.4,2.3,1.0,1.5,0.503,0.081,0.754,89.1,0.151,PF,1,13.0
46,47.0,Earl Monroe,1968.0,1980.0,926.0,32.0,18.8,3.0,3.9,1.0,0.3,0.46399999999999997,0.325,0.807,77.4,0.125,PG,0,12.0
47,48.0,Dennis Rodman,1987.0,2000.0,911.0,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15,SF,1,13.0
48,49.0,Dwyane Wade,2004.0,2019.0,1054.0,33.9,22.0,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162,SG,0,15.0
49,50.0,Steve Nash,1997.0,2014.0,1217.0,31.3,14.3,3.0,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.16399999999999998,PG,1,17.0
50,51.0,Walt Bellamy,1962.0,1975.0,1043.0,37.3,20.1,13.7,2.4,0.7,0.6,0.516,0.1175,0.632,130.0,0.16,C,1,13.0
51,52.0,Tiny Archibald,1971.0,1984.0,876.0,35.6,18.8,2.3,7.4,1.1,0.1,0.467,0.22399999999999998,0.81,83.4,0.128,PG,0,13.0
52,53.0,Dennis Johnson,1977.0,1990.0,1100.0,32.7,14.1,3.9,5.0,1.3,0.6,0.445,0.172,0.797,82.6,0.11,PG,1,13.0
53,54.0,Reggie Miller,1988.0,2005.0,1389.0,34.3,18.2,3.0,3.0,1.1,0.2,0.47100000000000003,0.395,0.888,174.4,0.17600000000000002,SG,1,17.0
54,55.0,Dirk Nowitzki,1999.0,2019.0,1522.0,33.8,20.7,7.5,2.4,0.8,0.8,0.47100000000000003,0.38,0.879,206.3,0.193,PF,0,20.0
55,56.0,Connie Hawkins,1970.0,1976.0,499.0,34.5,16.5,8.0,4.1,1.2,0.8,0.467,0.17600000000000002,0.785,47.5,0.132,PF,1,6.0
56,57.0,Dave Bing,1967.0,1978.0,901.0,36.4,20.3,3.8,6.0,1.3,0.2,0.441,0.325,0.775,68.8,0.10099999999999999,PG,1,11.0
57,58.0,James Worthy,1983.0,1994.0,926.0,32.4,17.6,5.1,3.0,1.1,0.7,0.521,0.24100000000000002,0.769,81.2,0.13,SF,1,11.0
58,59.0,Hal Greer,1959.0,1973.0,1122.0,35.5,19.2,5.0,4.0,1.3,0.1,0.452,0.325,0.8009999999999999,102.7,0.124,PG,1,14.0
59,60.0,Pete Maravich,1971.0,1980.0,658.0,37.0,24.2,4.2,5.4,1.4,0.3,0.441,0.667,0.82,46.7,0.092,SG,1,9.0
60,61.0,Jack Twyman,1956.0,1966.0,823.0,31.8,19.2,6.6,2.3,1.0,0.4,0.45,0.3305,0.778,75.0,0.138,SF,1,10.0
61,62.0,Bob Lanier,1971.0,1984.0,959.0,33.5,20.1,10.1,3.1,1.1,1.5,0.514,0.154,0.767,117.1,0.175,C,1,13.0
62,63.0,David Thompson,1977.0,1984.0,509.0,32.0,22.1,3.8,3.2,0.9,0.8,0.504,0.27699999999999997,0.778,50.8,0.15,SG,1,7.0
63,64.0,Joe Fulks,1947.0,1954.0,489.0,23.4,16.4,5.3,1.2,0.8,0.8,0.302,0.17600000000000002,0.7659999999999999,29.2,-0.045,PF,1,7.0
64,65.0,Sam Jones,1958.0,1969.0,871.0,27.9,17.7,4.9,2.5,1.15,0.2,0.456,0.327,0.8029999999999999,92.3,0.182,SG,1,11.0
65,66.0,Gus Johnson,1964.0,1973.0,581.0,34.7,17.1,12.7,2.7,1.0,0.4,0.44,0.3305,0.6990000000000001,35.8,0.085,SF,1,9.0
66,67.0,Robert Parish,1977.0,1997.0,1611.0,28.4,14.5,9.1,1.4,0.8,1.5,0.537,0.0,0.721,147.0,0.154,C,1,20.0
67,68.0,Tom Heinsohn,1957.0,1965.0,654.0,29.4,18.6,8.8,2.0,1.0,0.4,0.405,0.3305,0.79,60.0,0.15,SF,1,8.0
68,69.0,Bernard King,1978.0,1993.0,874.0,33.7,22.5,5.8,3.3,1.0,0.3,0.518,0.172,0.73,75.4,0.12300000000000001,SF,1,15.0
69,70.0,Bill Sharman,1951.0,1961.0,711.0,32.0,17.8,3.9,3.0,1.15,0.2,0.426,0.327,0.883,82.8,0.17800000000000002,SG,1,10.0
70,71.0,Paul Arizin,1951.0,1962.0,713.0,38.4,22.8,8.6,2.3,1.0,0.4,0.42100000000000004,0.3305,0.81,108.8,0.183,SF,1,11.0
71,72.0,Lenny Wilkens,1961.0,1975.0,1077.0,35.3,16.5,4.7,6.7,1.3,0.2,0.43200000000000005,0.325,0.774,95.5,0.12,PG,0,14.0
72,73.0,Alonzo Mourning,1993.0,2008.0,838.0,31.0,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.6920000000000001,89.7,0.166,PF,0,15.0
73,74.0,Bill Walton,1975.0,1987.0,468.0,28.3,13.3,10.5,3.4,0.8,2.2,0.521,0.0,0.66,39.3,0.142,C,1,12.0
74,75.0,Neil Johnston,1952.0,1959.0,516.0,35.5,19.4,11.3,2.5,0.6,1.4,0.444,0.1175,0.768,92.0,0.24100000000000002,C,0,7.0
75,76.0,Dave DeBusschere,1963.0,1974.0,875.0,35.7,16.1,11.0,2.9,0.9,0.5,0.43200000000000005,0.3305,0.6990000000000001,60.8,0.09300000000000001,SF,1,11.0
76,77.0,Paul Pierce,1999.0,2017.0,1343.0,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.8059999999999999,150.0,0.157,SF,0,18.0
77,78.0,Joe Dumars,1986.0,1999.0,1018.0,34.5,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,86.2,0.11800000000000001,PG,1,13.0
78,79.0,Ray Allen,1997.0,2014.0,1300.0,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15,SG,1,17.0
79,80.0,Chris Webber,1994.0,2008.0,831.0,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,84.7,0.132,PF,0,14.0
80,81.0,Ed Macauley,1950.0,1959.0,641.0,35.7,17.5,7.5,3.2,0.6,1.4,0.436,0.1175,0.7609999999999999,100.4,0.196,C,1,9.0
81,82.0,Alex English,1977.0,1991.0,1193.0,31.9,21.5,5.5,3.6,0.9,0.7,0.507,0.217,0.8320000000000001,100.7,0.127,SF,1,14.0
82,83.0,Adrian Dantley,1977.0,1991.0,955.0,35.8,24.3,5.7,3.0,1.0,0.2,0.54,0.171,0.818,134.2,0.18899999999999997,SF,1,14.0
83,84.0,Artis Gilmore,1977.0,1988.0,909.0,32.7,17.1,10.1,2.0,0.5,1.9,0.599,0.077,0.713,107.4,0.174,C,1,11.0
84,85.0,Cliff Hagan,1957.0,1966.0,745.0,29.2,18.0,6.9,3.0,1.0,0.4,0.45,0.3305,0.7979999999999999,75.1,0.166,SF,1,9.0
85,86.0,Dwight Howard,2005.0,2019.0,1044.0,34.5,17.4,12.6,1.5,0.9,2.0,0.583,0.095,0.5670000000000001,128.9,0.172,PF,0,14.0
86,87.0,Tim Hardaway,1990.0,2003.0,867.0,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85.0,0.133,PG,0,13.0
87,88.0,Chris Mullin,1986.0,2001.0,986.0,32.6,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,93.1,0.139,SF,1,15.0
88,89.0,Mitch Richmond,1989.0,2002.0,976.0,35.2,21.0,3.9,3.5,1.2,0.3,0.455,0.38799999999999996,0.85,79.3,0.111,SG,1,13.0
89,90.0,Sidney Moncrief,1980.0,1991.0,767.0,30.2,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,90.3,0.187,PG,1,11.0
90,91.0,Bob Dandridge,1970.0,1982.0,839.0,35.2,18.5,6.8,3.4,1.3,0.6,0.484,0.16699999999999998,0.78,80.3,0.131,SF,0,12.0
91,92.0,Bob Love,1967.0,1977.0,789.0,31.8,17.6,5.9,1.4,0.8,0.2,0.429,0.3305,0.805,50.4,0.096,SF,0,10.0
92,93.0,Jim Pollard,1949.0,1955.0,438.0,35.4,13.2,7.8,3.2,1.0,0.4,0.36,0.3305,0.75,34.9,0.09300000000000001,SF,1,6.0
93,94.0,Spencer Haywood,1971.0,1983.0,760.0,33.7,19.2,9.3,1.8,0.6,1.1,0.465,0.125,0.8,61.4,0.115,PF,1,12.0
94,95.0,Dikembe Mutombo,1992.0,2009.0,1196.0,30.8,9.8,10.3,1.0,0.4,2.8,0.518,0.0,0.684,117.0,0.153,C,1,17.0
95,96.0,Pau Gasol,2002.0,2019.0,1226.0,33.4,17.0,9.2,3.2,0.5,1.6,0.507,0.368,0.753,144.1,0.16899999999999998,C,0,17.0
96,97.0,Tracy McGrady,1998.0,2012.0,938.0,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.33799999999999997,0.746,97.3,0.152,SF,1,14.0
97,98.0,Grant Hill,1995.0,2013.0,1026.0,33.9,16.7,6.0,4.1,1.2,0.6,0.483,0.314,0.769,99.9,0.138,SG,1,18.0
98,99.0,Vince Carter,1999.0,2019.0,1481.0,30.7,17.2,4.4,3.2,1.0,0.6,0.43700000000000006,0.374,0.7979999999999999,125.5,0.132,SG,0,20.0
99,100.0,Buck Williams,1982.0,1998.0,1307.0,32.5,12.8,10.0,1.3,0.8,0.8,0.5489999999999999,0.16699999999999998,0.664,120.1,0.136,PF,0,16.0
100,101.0,Slater Martin,1950.0,1960.0,745.0,35.9,9.8,3.4,4.2,1.3,0.1,0.364,0.325,0.762,47.5,0.087,PG,1,10.0
101,102.0,Kevin Johnson,1988.0,2000.0,735.0,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.305,0.841,92.8,0.17800000000000002,PG,0,12.0
102,103.0,Brad Daugherty,1987.0,1994.0,548.0,36.5,19.0,9.5,3.7,0.8,0.7,0.532,0.14300000000000002,0.747,65.2,0.156,C,0,7.0
103,104.0,Walter Davis,1978.0,1992.0,1033.0,27.9,18.9,3.0,3.8,1.2,0.1,0.511,0.272,0.851,76.9,0.128,SF,0,14.0
104,105.0,Carmelo Anthony,2004.0,2019.0,1064.0,35.8,24.0,6.5,3.0,1.0,0.5,0.449,0.34700000000000003,0.8109999999999999,101.0,0.127,SF,0,15.0
105,106.0,Dan Issel,1977.0,1985.0,718.0,31.1,20.4,7.9,2.5,1.0,0.6,0.506,0.253,0.797,82.3,0.177,PF,1,8.0
106,107.0,Chris Paul,2006.0,2019.0,950.0,35.1,18.5,4.5,9.7,2.2,0.1,0.469,0.37,0.868,171.5,0.247,PG,0,13.0
107,108.0,George McGinnis,1976.0,1982.0,528.0,30.7,17.2,9.8,3.8,1.7,0.4,0.44799999999999995,0.08,0.6509999999999999,36.2,0.107,PF,1,6.0
108,109.0,Jamaal Wilkes,1975.0,1986.0,828.0,32.9,17.7,6.2,2.5,1.3,0.3,0.499,0.135,0.759,71.3,0.125,SF,1,11.0
109,110.0,Chet Walker,1963.0,1975.0,1032.0,32.4,18.2,7.1,2.1,0.7,0.1,0.47,0.3305,0.7959999999999999,117.4,0.168,SF,1,12.0
110,111.0,George Yardley,1954.0,1960.0,472.0,33.4,19.2,8.9,1.7,1.0,0.4,0.42200000000000004,0.3305,0.78,58.5,0.17800000000000002,SF,1,6.0
111,112.0,Kevin Porter,1973.0,1983.0,659.0,29.0,11.6,1.8,8.1,1.4,0.1,0.483,0.188,0.737,36.0,0.09,SG,0,10.0
112,113.0,Richie Guerin,1957.0,1970.0,848.0,32.4,17.3,5.0,5.0,1.15,0.2,0.41600000000000004,0.327,0.78,69.2,0.121,SG,1,13.0
113,114.0,Norm Van Lier,1970.0,1979.0,746.0,35.1,11.8,4.8,7.0,1.8,0.2,0.414,0.325,0.78,47.8,0.08800000000000001,PG,0,9.0
114,115.0,Willie Naulls,1957.0,1966.0,716.0,28.8,15.8,9.1,1.6,1.0,0.4,0.406,0.3305,0.812,34.3,0.08,SF,0,9.0
115,116.0,Zelmo Beaty,1963.0,1975.0,570.0,32.2,16.0,10.4,1.5,0.7,0.4,0.469,0.17600000000000002,0.75,58.2,0.152,PF,1,12.0
116,117.0,Marques Johnson,1978.0,1990.0,691.0,34.3,20.1,7.0,3.6,1.3,0.8,0.518,0.152,0.7390000000000001,79.8,0.162,SG,0,12.0
117,118.0,Jo Jo White,1970.0,1981.0,837.0,35.8,17.2,4.0,4.9,1.3,0.2,0.444,0.16699999999999998,0.8340000000000001,54.0,0.087,PG,1,11.0
118,119.0,Jack Sikma,1978.0,1991.0,1107.0,33.4,15.6,9.8,3.2,1.0,0.9,0.46399999999999997,0.32799999999999996,0.8490000000000001,112.5,0.146,C,1,13.0
119,120.0,Tom Chambers,1982.0,1998.0,1107.0,30.6,18.1,6.1,2.1,0.8,0.6,0.46799999999999997,0.307,0.807,79.0,0.11199999999999999,PF,0,16.0
120,121.0,Dick McGuire,1950.0,1960.0,738.0,28.3,8.0,4.2,5.7,1.3,0.1,0.389,0.325,0.644,50.9,0.115,PG,1,10.0
121,122.0,Maurice Cheeks,1979.0,1993.0,1101.0,31.6,11.1,2.8,6.7,2.1,0.3,0.523,0.255,0.7929999999999999,103.5,0.14300000000000002,PG,0,14.0
122,123.0,Ben Wallace,1997.0,2012.0,1088.0,29.5,5.7,9.6,1.3,1.3,2.0,0.474,0.13699999999999998,0.414,93.5,0.14,PF,0,15.0
123,124.0,Chauncey Billups,1998.0,2014.0,1043.0,31.6,15.2,2.9,5.4,1.0,0.2,0.415,0.387,0.894,120.8,0.17600000000000002,PG,0,16.0
124,125.0,Bailey Howell,1960.0,1971.0,950.0,32.2,18.7,9.9,2.0,0.8,0.8,0.48,0.17600000000000002,0.762,114.8,0.18,PF,1,11.0
